particleCap,steps,rank,function,lineno,hits,time_s,code
100,1000,12,main,145,99,4.5550,"                    latticeRadiusMax, radius, killRadius = lattice_radius_check(lattice, length, radius, killRadius)"
100,1000,13,lattice_radius_check,78,99,4.5190,    latticeRadiusInitial = np.nonzero(lattice)
100,1000,14,main,130,206,3.1341,"            path = generate_path(steps, startingPosition)"
100,1000,15,generate_path,47,205794,1.6743,        path[n+1] = particlePosition + movements[direction[n]]
100,1000,16,main,184,91278,1.2466,"                correlationLattice[row] = lattice[int(referenceParticleRow+radiusCircle-row),int(referenceParticleColumn-radiusCircle):int(referenceParticleColumn+radiusCircle+1)]"
100,1000,17,main,135,132143,0.8898,"                    logicCheck[n] = stickyLattice[int(path[n,0]), int(path[n,1])] == 1"
100,1000,18,main,187,990,0.4814,            coordsToCheck = np.where(circleSelection == True)
100,1000,19,generate_path,48,205794,0.4333,        particlePosition = path[n+1]
100,1000,20,main,141,132143,0.3428,                if logicCheck[n] == 1:
250,100,1,main,190,22424442,87.4586,"                coords[n,0], coords[n,1] =  coordsToCheck[0][n], coordsToCheck[1][n]"
250,100,2,main,195,22424442,69.9642,"                row = int(coords[n,0])"
250,100,3,main,196,22424442,68.8914,"                column = int(coords[n,1])"
250,100,4,main,198,22424442,57.0670,                if check == 0:
250,100,5,main,197,22424442,54.2931,"                check = correlationLattice[row, column]"
250,100,6,main,199,21919316,50.8094,                    empty += 1
250,100,7,main,194,22426932,37.8577,            for n in range(len(coords)):
250,100,8,main,189,22426932,35.9566,            for n in range(len(coordsToCheck[0])):
250,100,9,main,144,249,30.6375,"                    lattice, stickyLattice = particle_collision(logicCheck, path, lattice, stickyLattice, particleNumber)"
250,100,10,particle_collision,58,249,13.3277,    stickyInitialTest = np.nonzero(lattice)
250,100,11,particle_collision,68,249,13.1262,    latticeCheck = np.nonzero(lattice)
250,100,12,main,145,249,12.9850,"                    latticeRadiusMax, radius, killRadius = lattice_radius_check(lattice, length, radius, killRadius)"
250,100,13,lattice_radius_check,78,249,12.8433,    latticeRadiusInitial = np.nonzero(lattice)
250,100,14,main,130,2352,3.9791,"            path = generate_path(steps, startingPosition)"
250,100,15,main,184,229578,3.1618,"                correlationLattice[row] = lattice[int(referenceParticleRow+radiusCircle-row),int(referenceParticleColumn-radiusCircle):int(referenceParticleColumn+radiusCircle+1)]"
250,100,16,particle_collision,63,125496,2.4517,"            stickySitesTest.append((stickyInitialTest[0][o], stickyInitialTest[1][o]) + movements[n])"
250,100,17,generate_path,47,232848,1.9181,        path[n+1] = particlePosition + movements[direction[n]]
250,100,18,main,135,221233,1.5394,"                    logicCheck[n] = stickyLattice[int(path[n,0]), int(path[n,1])] == 1"
250,100,19,main,187,2490,1.4413,            coordsToCheck = np.where(circleSelection == True)
250,100,20,main,201,505126,0.9591,                    filled += 1
250,1000,1,main,190,22424442,87.3365,"                coords[n,0], coords[n,1] =  coordsToCheck[0][n], coordsToCheck[1][n]"
250,1000,2,main,195,22424442,70.4540,"                row = int(coords[n,0])"
250,1000,3,main,196,22424442,70.2580,"                column = int(coords[n,1])"
250,1000,4,main,198,22424442,58.2115,                if check == 0:
250,1000,5,main,197,22424442,53.9282,"                check = correlationLattice[row, column]"
250,1000,6,main,199,21913307,48.5399,                    empty += 1
250,1000,7,main,194,22426932,37.5336,            for n in range(len(coords)):
250,1000,8,main,189,22426932,35.6000,            for n in range(len(coordsToCheck[0])):
250,1000,9,main,144,249,27.5095,"                    lattice, stickyLattice = particle_collision(logicCheck, path, lattice, stickyLattice, particleNumber)"
250,1000,10,particle_collision,58,249,11.8462,    stickyInitialTest = np.nonzero(lattice)
250,1000,11,particle_collision,68,249,11.7019,    latticeCheck = np.nonzero(lattice)
250,1000,12,main,145,249,11.5178,"                    latticeRadiusMax, radius, killRadius = lattice_radius_check(lattice, length, radius, killRadius)"
250,1000,13,lattice_radius_check,78,249,11.4143,    latticeRadiusInitial = np.nonzero(lattice)
250,1000,14,main,130,482,7.3872,"            path = generate_path(steps, startingPosition)"
250,1000,15,generate_path,47,481518,3.9491,        path[n+1] = particlePosition + movements[direction[n]]
250,1000,16,main,184,229578,3.1372,"                correlationLattice[row] = lattice[int(referenceParticleRow+radiusCircle-row),int(referenceParticleColumn-radiusCircle):int(referenceParticleColumn+radiusCircle+1)]"
250,1000,17,particle_collision,63,125496,2.3331,"            stickySitesTest.append((stickyInitialTest[0][o], stickyInitialTest[1][o]) + movements[n])"
250,1000,18,main,135,291013,1.9748,"                    logicCheck[n] = stickyLattice[int(path[n,0]), int(path[n,1])] == 1"
250,1000,19,main,187,2490,1.4731,            coordsToCheck = np.where(circleSelection == True)
250,1000,20,generate_path,48,481518,1.0302,        particlePosition = path[n+1]
500,100,1,main,190,44938942,175.4661,"                coords[n,0], coords[n,1] =  coordsToCheck[0][n], coordsToCheck[1][n]"
500,100,2,main,195,44938942,142.1818,"                row = int(coords[n,0])"
500,100,3,main,196,44938942,140.3309,"                column = int(coords[n,1])"
500,100,4,main,198,44938942,118.2191,                if check == 0:
500,100,5,main,197,44938942,108.9174,"                check = correlationLattice[row, column]"
500,100,6,main,199,43138007,96.4185,                    empty += 1
500,100,7,main,194,44943932,75.8178,            for n in range(len(coords)):
500,100,8,main,189,44943932,71.3223,            for n in range(len(coordsToCheck[0])):
500,100,9,main,144,499,68.9711,"                    lattice, stickyLattice = particle_collision(logicCheck, path, lattice, stickyLattice, particleNumber)"
500,100,10,particle_collision,58,499,26.1423,    stickyInitialTest = np.nonzero(lattice)
500,100,11,particle_collision,68,499,25.8966,    latticeCheck = np.nonzero(lattice)
500,100,12,main,145,499,25.3189,"                    latticeRadiusMax, radius, killRadius = lattice_radius_check(lattice, length, radius, killRadius)"
500,100,13,lattice_radius_check,78,499,25.0224,    latticeRadiusInitial = np.nonzero(lattice)
500,100,14,main,130,10173,16.8479,"            path = generate_path(steps, startingPosition)"
500,100,15,particle_collision,63,500996,10.5140,"            stickySitesTest.append((stickyInitialTest[0][o], stickyInitialTest[1][o]) + movements[n])"
500,100,16,generate_path,47,1007127,8.2308,        path[n+1] = particlePosition + movements[direction[n]]
500,100,17,main,135,991894,6.8427,"                    logicCheck[n] = stickyLattice[int(path[n,0]), int(path[n,1])] == 1"
500,100,18,main,184,460078,6.2322,"                correlationLattice[row] = lattice[int(referenceParticleRow+radiusCircle-row),int(referenceParticleColumn-radiusCircle):int(referenceParticleColumn+radiusCircle+1)]"
500,100,19,main,201,1800935,3.3140,                    filled += 1
500,100,20,main,141,991894,2.5944,                if logicCheck[n] == 1:
500,1000,1,main,190,44938942,174.7103,"                coords[n,0], coords[n,1] =  coordsToCheck[0][n], coordsToCheck[1][n]"
500,1000,2,main,195,44938942,142.1587,"                row = int(coords[n,0])"
500,1000,3,main,196,44938942,141.3386,"                column = int(coords[n,1])"
500,1000,4,main,198,44938942,117.1099,                if check == 0:
500,1000,5,main,197,44938942,109.1397,"                check = correlationLattice[row, column]"
500,1000,6,main,199,43066366,96.7554,                    empty += 1
500,1000,7,main,194,44943932,75.2835,            for n in range(len(coords)):
500,1000,8,main,189,44943932,72.2760,            for n in range(len(coordsToCheck[0])):
500,1000,9,main,144,499,62.5363,"                    lattice, stickyLattice = particle_collision(logicCheck, path, lattice, stickyLattice, particleNumber)"
500,1000,10,particle_collision,58,499,24.5426,    stickyInitialTest = np.nonzero(lattice)
500,1000,11,particle_collision,68,499,24.1785,    latticeCheck = np.nonzero(lattice)
500,1000,12,main,145,499,23.9120,"                    latticeRadiusMax, radius, killRadius = lattice_radius_check(lattice, length, radius, killRadius)"
500,1000,13,lattice_radius_check,78,499,23.6516,    latticeRadiusInitial = np.nonzero(lattice)
500,1000,14,main,130,928,14.4381,"            path = generate_path(steps, startingPosition)"
500,1000,15,generate_path,47,927072,7.7107,        path[n+1] = particlePosition + movements[direction[n]]
500,1000,16,particle_collision,63,500996,7.5413,"            stickySitesTest.append((stickyInitialTest[0][o], stickyInitialTest[1][o]) + movements[n])"
500,1000,17,main,184,460078,6.3788,"                correlationLattice[row] = lattice[int(referenceParticleRow+radiusCircle-row),int(referenceParticleColumn-radiusCircle):int(referenceParticleColumn+radiusCircle+1)]"
500,1000,18,main,135,566814,3.9618,"                    logicCheck[n] = stickyLattice[int(path[n,0]), int(path[n,1])] == 1"
500,1000,19,main,201,1872576,3.4839,                    filled += 1
500,1000,20,main,187,4990,2.2337,            coordsToCheck = np.where(circleSelection == True)
750,100,1,main,190,67453442,271.7314,"                coords[n,0], coords[n,1] =  coordsToCheck[0][n], coordsToCheck[1][n]"
750,100,2,main,195,67453442,220.4736,"                row = int(coords[n,0])"
750,100,3,main,196,67453442,216.7300,"                column = int(coords[n,1])"
750,100,4,main,198,67453442,181.3692,                if check == 0:
750,100,5,main,197,67453442,167.9436,"                check = correlationLattice[row, column]"
750,100,6,main,199,63757076,148.7763,                    empty += 1
750,100,7,main,194,67460932,119.1911,            for n in range(len(coords)):
750,100,8,main,189,67460932,111.2504,            for n in range(len(coordsToCheck[0])):
750,100,9,main,144,749,108.2464,"                    lattice, stickyLattice = particle_collision(logicCheck, path, lattice, stickyLattice, particleNumber)"
750,100,10,particle_collision,58,749,38.8264,    stickyInitialTest = np.nonzero(lattice)
750,100,11,particle_collision,68,749,38.3123,    latticeCheck = np.nonzero(lattice)
750,100,12,main,145,749,38.1897,"                    latticeRadiusMax, radius, killRadius = lattice_radius_check(lattice, length, radius, killRadius)"
750,100,13,lattice_radius_check,78,749,37.7322,    latticeRadiusInitial = np.nonzero(lattice)
750,100,14,main,130,10681,17.8540,"            path = generate_path(steps, startingPosition)"
750,100,15,particle_collision,63,1126496,16.9424,"            stickySitesTest.append((stickyInitialTest[0][o], stickyInitialTest[1][o]) + movements[n])"
750,100,16,main,184,690578,9.8713,"                correlationLattice[row] = lattice[int(referenceParticleRow+radiusCircle-row),int(referenceParticleColumn-radiusCircle):int(referenceParticleColumn+radiusCircle+1)]"
750,100,17,generate_path,47,1057419,8.7210,        path[n+1] = particlePosition + movements[direction[n]]
750,100,18,main,201,3696366,7.2042,                    filled += 1
750,100,19,main,135,1030327,7.1106,"                    logicCheck[n] = stickyLattice[int(path[n,0]), int(path[n,1])] == 1"
750,100,20,main,187,7490,4.0319,            coordsToCheck = np.where(circleSelection == True)
